candidate_name,district,constituency,party,votes_total,vote_share_pct,position,gender,age,assets,liabilities,criminal_cases
,,Saidapet,,,,20,,,,,
,,Saidapet,,,,19,,,,,
,,Saidapet,,,,12,,,,,
,,Saidapet,,,,29,,,,,
,,Saidapet,,,,25,,,,,
,,Saidapet,,,,23,,,,,
,,Saidapet,,,,27,,,,,
,,Saidapet,,,,22,,,,,
,,Saidapet,,,,24,,,,,
,,Saidapet,,,,16,,,,,
,,Saidapet,,,,6,,,,,
,,Thiyagarayanagar,,,,1,,,,,
,,Thiyagarayanagar,,,,2,,,,,
,,Thiyagarayanagar,,,,7,,,,,
,,Thiyagarayanagar,,,,14,,,,,
,,Thiyagarayanagar,,,,3,,,,,
,,Thiyagarayanagar,,,,4,,,,,
,,Thiyagarayanagar,,,,13,,,,,
,,Thiyagarayanagar,,,,9,,,,,
,,Thiyagarayanagar,,,,15,,,,,
,,Thiyagarayanagar,,,,6,,,,,
,,Thiyagarayanagar,,,,11,,,,,
,,Thiyagarayanagar,,,,12,,,,,
,,Thiyagarayanagar,,,,8,,,,,
,,Thiyagarayanagar,,,,10,,,,,
,,Thiyagarayanagar,,,,5,,,,,
,,Mylapore,,,,2,,,,,
,,Mylapore,,,,7,,,,,
,,Mylapore,,,,1,,,,,
,,Mylapore,,,,6,,,,,
,,Mylapore,,,,16,,,,,
,,Mylapore,,,,4,,,,,
,,Mylapore,,,,12,,,,,
,,Mylapore,,,,3,,,,,
,,Mylapore,,,,17,,,,,
,,Mylapore,,,,19,,,,,
,,Mylapore,,,,23,,,,,
,,Mylapore,,,,21,,,,,
,,Mylapore,,,,13,,,,,
,,Mylapore,,,,10,,,,,
,,Mylapore,,,,15,,,,,
,,Mylapore,,,,9,,,,,
,,Mylapore,,,,11,,,,,
,,Mylapore,,,,22,,,,,
,,Mylapore,,,,14,,,,,
,,Mylapore,,,,8,,,,,
,,Mylapore,,,,18,,,,,
,,Mylapore,,,,20,,,,,
,,Mylapore,,,,24,,,,,
,,Mylapore,,,,5,,,,,
,,Velachery,,,,1,,,,,
,,Velachery,,,,2,,,,,
,,Velachery,,,,8,,,,,
,,Velachery,,,,17,,,,,
,,Velachery,,,,10,,,,,
,,Velachery,,,,4,,,,,
,,Velachery,,,,5,,,,,
,,Velachery,,,,18,,,,,
,,Velachery,,,,3,,,,,
,,Velachery,,,,7,,,,,
,,Velachery,,,,19,,,,,
,,Velachery,,,,20,,,,,
,,Velachery,,,,22,,,,,
,,Velachery,,,,21,,,,,
,,Velachery,,,,16,,,,,
,,Velachery,,,,9,,,,,
,,Velachery,,,,11,,,,,
,,Velachery,,,,13,,,,,
,,Velachery,,,,15,,,,,
,,Velachery,,,,23,,,,,
,,Velachery,,,,24,,,,,
,,Velachery,,,,14,,,,,
,,Velachery,,,,12,,,,,
,,Velachery,,,,6,,,,,
,,Shozhinganallur,,,,1,,,,,
,,Shozhinganallur,,,,2,,,,,
,,Shozhinganallur,,,,8,,,,,
,,Shozhinganallur,,,,5,,,,,
,,Shozhinganallur,,,,15,,,,,
,,Shozhinganallur,,,,3,,,,,
,,Shozhinganallur,,,,4,,,,,
,,Shozhinganallur,,,,11,,,,,
,,Shozhinganallur,,,,14,,,,,
,,Shozhinganallur,,,,10,,,,,
,,Shozhinganallur,,,,23,,,,,
,,Shozhinganallur,,,,22,,,,,
,,Shozhinganallur,,,,17,,,,,
,,Shozhinganallur,,,,21,,,,,
,,Shozhinganallur,,,,16,,,,,
,,Shozhinganallur,,,,7,,,,,
,,Shozhinganallur,,,,9,,,,,
,,Shozhinganallur,,,,12,,,,,
,,Shozhinganallur,,,,13,,,,,
,,Shozhinganallur,,,,25,,,,,
,,Shozhinganallur,,,,24,,,,,
,,Shozhinganallur,,,,26,,,,,
,,Shozhinganallur,,,,27,,,,,
,,Shozhinganallur,,,,19,,,,,
,,Shozhinganallur,,,,20,,,,,
,,Shozhinganallur,,,,18,,,,,
,,Shozhinganallur,,,,6,,,,,
,,Alandur,,,,1,,,,,
,,Alandur,,,,2,,,,,
,,Alandur,,,,8,,,,,
,,Alandur,,,,7,,,,,
,,Alandur,,,,4,,,,,
,,Alandur,,,,3,,,,,
,,Alandur,,,,13,,,,,
,,Alandur,,,,20,,,,,
,,Alandur,,,,6,,,,,
,,Alandur,,,,21,,,,,
,,Alandur,,,,23,,,,,
,,Alandur,,,,12,,,,,
,,Alandur,,,,18,,,,,
,,Alandur,,,,16,,,,,
,,Alandur,,,,19,,,,,
,,Alandur,,,,11,,,,,
,,Alandur,,,,9,,,,,
,,Alandur,,,,15,,,,,
,,Alandur,,,,24,,,,,
,,Alandur,,,,25,,,,,
,,Alandur,,,,22,,,,,
,,Alandur,,,,17,,,,,
,,Alandur,,,,26,,,,,
,,Alandur,,,,10,,,,,
,,Alandur,,,,14,,,,,
,,Alandur,,,,5,,,,,
,,Sriperumbudur,,,,1,,,,,
,,Sriperumbudur,,,,2,,,,,
,,Sriperumbudur,,,,8,,,,,
,,Sriperumbudur,,,,4,,,,,
,,Sriperumbudur,,,,3,,,,,
,,Sriperumbudur,,,,6,,,,,
,,Sriperumbudur,,,,14,,,,,
,,Sriperumbudur,,,,9,,,,,
,,Sriperumbudur,,,,15,,,,,
,,Sriperumbudur,,,,12,,,,,
